date,invoice,vendor,category,amount_eur
2026-06-21,INV-2679,CloudPeak Hosting,Software & IT,295.53
2026-06-21,INV-2770,Fjord Logistics,Shipping,143.94
2026-06-22,INV-2540,Vertex Tools,Equipment,326.80
2026-06-22,INV-2603,Fjord Logistics,Shipping,587.63
2026-06-22,INV-2631,NordFleet Fuel,Vehicle costs,602.93
2026-06-22,INV-2736,Baltic Catering,Meals & events,391.41
2026-06-22,INV-2741,KontorClean AS,Facilities,258.38
2026-06-22,INV-2872,Baltic Catering,Meals & events,274.72
2026-06-22,INV-2878,KontorClean AS,Facilities,377.33
2026-06-23,INV-2339,CloudPeak Hosting,Software & IT,242.73
2026-06-23,INV-2396,NordFleet Fuel,Vehicle costs,415.80
2026-06-23,INV-2525,Baltic Catering,Meals & events,619.76
2026-06-23,INV-2608,NordFleet Fuel,Vehicle costs,651.27
2026-06-23,INV-2649,NordFleet Fuel,Vehicle costs,752.04
2026-06-23,INV-2866,PaperTrail Print,Printing,237.79
2026-06-24,INV-2324,Aurora Marketing,Advertising,815.34
2026-06-24,INV-2417,Fjord Logistics,Shipping,429.60
2026-06-24,INV-2471,NordFleet Fuel,Vehicle costs,420.03
2026-06-24,INV-2675,KontorClean AS,Facilities,582.37
2026-06-24,INV-2733,Fjord Logistics,Shipping,660.35
2026-06-24,INV-2738,SafeDesk Insurance,Insurance,673.77
2026-06-24,INV-2873,PaperTrail Print,Printing,93.18
2026-06-25,INV-2367,Lindström Office,Office supplies,1399.05
2026-06-25,INV-2390,SafeDesk Insurance,Insurance,596.13
2026-06-25,INV-2654,Aurora Marketing,Advertising,293.58
2026-06-26,INV-2382,Aurora Marketing,Advertising,996.32
2026-06-26,INV-2546,SafeDesk Insurance,Insurance,796.85
2026-06-26,INV-2594,Aurora Marketing,Advertising,1298.97
2026-06-26,INV-2699,SafeDesk Insurance,Insurance,815.51
2026-06-26,INV-2702,SafeDesk Insurance,Insurance,502.57
2026-06-26,INV-2829,Fjord Logistics,Shipping,268.21
2026-06-26,INV-2874,Baltic Catering,Meals & events,470.93
2026-06-27,INV-2562,Fjord Logistics,Shipping,123.97
2026-06-27,INV-2618,CloudPeak Hosting,Software & IT,32.96
2026-06-27,INV-2714,PaperTrail Print,Printing,141.40
2026-06-27,INV-2764,Baltic Catering,Meals & events,518.73
2026-06-27,INV-2835,NordFleet Fuel,Vehicle costs,595.51
2026-06-28,INV-2556,Vertex Tools,Equipment,939.24
2026-06-28,INV-2601,Fjord Logistics,Shipping,693.80
2026-06-28,INV-2620,CloudPeak Hosting,Software & IT,259.12
2026-06-28,INV-2645,Fjord Logistics,Shipping,610.50
2026-06-28,INV-2647,NordFleet Fuel,Vehicle costs,256.41
2026-06-28,INV-2836,PaperTrail Print,Printing,90.20
2026-06-29,INV-2335,NordFleet Fuel,Vehicle costs,803.22
2026-06-29,INV-2615,SafeDesk Insurance,Insurance,385.81
2026-06-29,INV-2852,NordFleet Fuel,Vehicle costs,872.75
2026-06-29,INV-2865,KontorClean AS,Facilities,363.51
2026-06-30,INV-2513,Aurora Marketing,Advertising,502.79
2026-06-30,INV-2622,Aurora Marketing,Advertising,512.64
2026-06-30,INV-2657,Lindström Office,Office supplies,569.10

